,Ingredients,Quantity
0,Barbecued Chicken,37
1,Red Peppers,249
2,Green Peppers,82
3,Tomatoes,403
4,Red Onions,296
5,Barbecue Sauce,37
6,Chicken,129
7,Artichoke,35
8,Spinach,153
9,Garlic,414
10,Jalapeno Peppers,86
11,Fontina Cheese,49
12,Gouda Cheese,35
13,Mushrooms,148
14,Asiago Cheese,49
15,Alfredo Sauce,13
16,Pesto Sauce,44
17,Corn,51
18,Cilantro,51
19,Chipotle Sauce,51
20,Pineapple,72
21,Thai Sweet Chilli Sauce,36
22,Bacon,68
23,Pepperoni,160
24,Italian Sausage,29
25,Chorizo Sausage,29
26,Sliced Ham,36
27,Mozzarella Cheese,157
28,Capocollo,97
29,Goat Cheese,48
30,Oregano,19
31,Anchovies,21
32,Green Olives,92
33,Kalamata Olives,47
34,Feta Cheese,70
35,Beef Chuck Roast,20
36,Brie Carre Cheese,7
37,Prosciutto,7
38,Caramelized Onions,7
39,Pears,7
40,Thyme,7
41,Nduja Salami,15
42,Pancetta,15
43,Friggitello Peppers,15
44,Calabrese Salami,27
45,Genoa Salami,22
46,Prosciutto di San Daniele,22
47,Arugula,22
48,Coarse Sicilian Salami,29
49,Luganega Sausage,29
50,Onions,29
51,Soppressata Salami,14
52,Artichokes,84
53,Peperoncini verdi,29
54,Provolone Cheese,21
55,Smoked Gouda Cheese,21
56,Romano Cheese,21
57,Blue Cheese,21
58,Ricotta Cheese,29
59,Gorgonzola Piccante Cheese,29
60,Parmigiano Reggiano Cheese,29
61,Eggplant,14
62,Zucchini,38
63,Sun-dried Tomatoes,27
64,Plum Tomatoes,13
